"Id","Designator","Footprint","Quantity","Designation","Supplier and ref",
1,"C7,C6,C8,C16,C12,C10,C17,C11,C9","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",9,"100nF",,,
2,"D1","D_SOD-323F",1,"1N5819WS",,,
3,"R6,R4","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",2,"1kR",,,
4,"C18,C19,C5,C3,C4,C15","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",6,"4.7uF",,,
5,"R2,R1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",2,"27R",,,
6,"R7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",1,"1MR",,,
7,"R3","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",1,"33R",,,
8,"TP2","TestPoint_Pad_1.0x1.0mm",1,"run",,,
9,"C2,C1","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",2,"10uF",,,
10,"Y1","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",1,"ABM8-272-T3",,,
11,"R5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",1,"10kR",,,
12,"D3","LED-SMD_4P-L3.2-W2.8_XZMDKCBDDG45S-9",1,"LED_RKBG",,,
13,"TP4","TestPoint_Pad_1.0x1.0mm",1,"GND",,,
14,"U1","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",1,"RP2354_60QFN",,,
15,"TP3","TestPoint_Pad_1.0x1.0mm",1,"3V3",,,
16,"L1","INDC1608X95N",1,"3.3u",,,
17,"U3","SOT-666",1,"USBLC6-2P6",,,
18,"R9,R8","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",2,"220R",,,
19,"U2","SOT-23",1,"MCP1700x-300xxTT",,,
20,"J1","USB_A_PCB_Edge_receptacle",1,"USB_A",,,
21,"REF**","cybdokey",1,"cybdokey",,,
